position,LB
passes_completed,-0.3474
passes,-0.5652
dribbles_completed,-0.9718
dribbles,-1.0277
passes_completed_short,-1.0488
passes_short,-1.178
passes_completed_medium,0.2725
passes_medium,0.1084
passes_completed_long,-0.114
passes_long,-0.1772
passes_total_distance,-0.1578
passes_free_kicks,0.4522
through_balls,0.0355
passes_pressure,-0.7708
passes_switches,-1.1189
crosses,-0.9427
corner_kicks,-0.4808
passes_intercepted,-1.0845
passes_blocked,-0.9129
dispossessed,-1.0796
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.803
shots_on_target,-0.786
sca,-1.0356
gca,-1.0626
xg,-0.2285
crosses_into_penalty_area,-0.8365
passes_into_final_third,-0.8023
passes_into_penalty_area,-1.219
progressive_passes,-0.9329
carry_progressive_distance,-0.9509
assisted_shots,-0.6778
fouled,0.5391
pens_won,-0.3695
tackles,0.3009
interceptions,0.3368
blocks,0.5848
tackles_won,-0.12
dribble_tackles,1.1334
dribbles_vs,0.6874
pressures,-0.6778
pressure_regains,-0.4341
clearances,1.8962
errors,-0.5457
aerials_won,1.9309
aerials_lost,1.1717
ball_recoveries,0.6102
pens_conceded,-0.4415
fouls,0.4203
cards_yellow_red,-0.2618
