position,AM
minutes,0.4996
passes_completed,0.8963
passes,0.7938
dribbles_completed,1.5441
dribbles,1.6538
passes_completed_short,1.2738
passes_short,1.2703
passes_completed_medium,0.3222
passes_medium,0.1974
passes_completed_long,0.7859
passes_long,0.5466
passes_total_distance,0.7675
passes_free_kicks,0.4258
through_balls,-0.632
passes_pressure,0.4965
passes_switches,1.6716
crosses,0.0602
corner_kicks,2.0194
passes_intercepted,0.2342
passes_blocked,0.2516
dispossessed,0.7311
goals,3.3244
assists,0.4212
pens_made,2.4104
pens_att,2.6846
shots_total,2.3941
shots_on_target,2.1606
sca,2.8439
gca,1.6361
xg,1.8601
crosses_into_penalty_area,0.07
passes_into_final_third,0.4247
passes_into_penalty_area,0.9017
progressive_passes,0.5155
carry_progressive_distance,0.3614
assisted_shots,1.8082
fouled,1.751
pens_won,1.4694
tackles,-1.0004
interceptions,-0.5487
blocks,-0.3634
tackles_won,-0.7305
dribble_tackles,-1.0435
dribbles_vs,-0.5295
pressures,0.116
pressure_regains,-0.063
clearances,-0.9256
errors,-0.3758
aerials_won,-1.0245
aerials_lost,-0.9797
ball_recoveries,-0.8981
pens_conceded,-0.3182
fouls,-0.9604
cards_yellow_red,-0.1906
