position,AM
passes_completed,0.6597
passes,0.7686
dribbles_completed,0.7698
dribbles,0.7759
passes_completed_short,0.8445
passes_short,0.8793
passes_completed_medium,0.2968
passes_medium,0.3857
passes_completed_long,0.4095
passes_long,0.2728
passes_total_distance,0.5016
passes_free_kicks,0.1236
through_balls,-0.2845
passes_pressure,0.9847
passes_switches,1.1968
crosses,0.2687
corner_kicks,0.4576
passes_intercepted,0.8496
passes_blocked,0.8542
dispossessed,0.5717
goals,-0.1501
assists,0.1189
pens_made,0.7826
pens_att,0.8824
shots_total,0.0634
shots_on_target,-0.2589
sca,0.5912
gca,-0.0743
xg,-0.1872
crosses_into_penalty_area,0.0326
passes_into_final_third,1.3761
passes_into_penalty_area,1.1163
progressive_passes,1.3171
carry_progressive_distance,0.8238
assisted_shots,0.4042
fouled,1.2231
pens_won,-0.0102
tackles,1.168
interceptions,0.1312
blocks,0.2626
tackles_won,1.2403
dribble_tackles,0.478
dribbles_vs,1.095
pressures,0.8434
pressure_regains,1.1119
clearances,-0.4844
errors,-0.5457
aerials_won,-0.3951
aerials_lost,-0.3777
ball_recoveries,1.0009
pens_conceded,0.5753
fouls,1.098
cards_yellow_red,1.6117
