position,LW
minutes,77
passes_completed,31
passes,41
dribbles_completed,3
dribbles,4
passes_completed_short,16
passes_short,18
passes_completed_medium,11
passes_medium,13
passes_completed_long,4
passes_long,8
passes_total_distance,575
passes_free_kicks,0
through_balls,1
passes_pressure,6
passes_switches,3
crosses,0
corner_kicks,0
passes_intercepted,0
passes_blocked,2
dispossessed,2
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,5
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,1
progressive_passes,4
carry_progressive_distance,135
assisted_shots,1
fouled,1
pens_won,0
tackles,0
interceptions,1
blocks,1
tackles_won,0
dribble_tackles,0
dribbles_vs,0
pressures,2
pressure_regains,1
clearances,0
errors,0
aerials_won,0
aerials_lost,2
ball_recoveries,4
pens_conceded,0
fouls,0
cards_yellow_red,0
