position,AM
minutes,90
passes_completed,31
passes,36
dribbles_completed,1
dribbles,1
passes_completed_short,14
passes_short,16
passes_completed_medium,13
passes_medium,14
passes_completed_long,4
passes_long,5
passes_total_distance,583
passes_free_kicks,1
through_balls,0
passes_pressure,6
passes_switches,2
crosses,0
corner_kicks,0
passes_intercepted,1
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,2
shots_on_target,0
sca,2
gca,0
xg,0.1
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,110
assisted_shots,0
fouled,1
pens_won,0
tackles,3
interceptions,3
blocks,1
tackles_won,2
dribble_tackles,1
dribbles_vs,4
pressures,13
pressure_regains,5
clearances,1
errors,0
aerials_won,0
aerials_lost,1
ball_recoveries,10
pens_conceded,0
fouls,1
cards_yellow_red,0
