position,LM
minutes,190.0
passes_completed,77.0
passes,99.0
dribbles_completed,7.0
dribbles,9.0
passes_completed_short,48.0
passes_short,53.0
passes_completed_medium,17.0
passes_medium,24.0
passes_completed_long,7.0
passes_long,13.0
passes_total_distance,1080.0
passes_free_kicks,5.0
through_balls,1.0
passes_pressure,25.0
passes_switches,2.0
crosses,5.0
corner_kicks,7.0
passes_intercepted,3.0
passes_blocked,3.0
dispossessed,4.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,0.0
sca,13.0
gca,2.0
xg,0.2
crosses_into_penalty_area,1.0
passes_into_final_third,3.0
passes_into_penalty_area,3.0
progressive_passes,5.0
carry_progressive_distance,422.0
assisted_shots,7.0
fouled,6.0
pens_won,0.0
tackles,5.0
interceptions,2.0
blocks,3.0
tackles_won,5.0
dribble_tackles,1.0
dribbles_vs,3.0
pressures,44.0
pressure_regains,13.0
clearances,1.0
errors,0.0
aerials_won,1.0
aerials_lost,5.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
