position,LM
minutes,589.0
passes_completed,141.0
passes,219.0
dribbles_completed,8.0
dribbles,18.0
passes_completed_short,85.0
passes_short,99.0
passes_completed_medium,46.0
passes_medium,76.0
passes_completed_long,7.0
passes_long,29.0
passes_total_distance,2002.0
passes_free_kicks,11.0
through_balls,0.0
passes_pressure,50.0
passes_switches,1.0
crosses,22.0
corner_kicks,5.0
passes_intercepted,3.0
passes_blocked,12.0
dispossessed,15.0
goals,2.0
assists,0.0
pens_made,1.0
pens_att,2.0
shots_total,17.0
shots_on_target,5.0
sca,18.0
gca,1.0
xg,3.0000000000000004
crosses_into_penalty_area,1.0
passes_into_final_third,8.0
passes_into_penalty_area,8.0
progressive_passes,22.0
carry_progressive_distance,983.0
assisted_shots,6.0
fouled,24.0
pens_won,1.0
tackles,12.0
interceptions,5.0
blocks,9.0
tackles_won,7.0
dribble_tackles,7.0
dribbles_vs,17.0
pressures,121.0
pressure_regains,27.0
clearances,3.0
errors,0.0
aerials_won,7.0
aerials_lost,18.0
ball_recoveries,49.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
