position,DF
minutes,
passes_completed,
passes,
dribbles_completed,
dribbles,
passes_completed_short,
passes_short,
passes_completed_medium,
passes_medium,
passes_completed_long,
passes_long,
passes_total_distance,
passes_free_kicks,
through_balls,
passes_pressure,
passes_switches,
crosses,0
corner_kicks,
passes_intercepted,
passes_blocked,
dispossessed,
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,
gca,
xg,
crosses_into_penalty_area,
passes_into_final_third,
passes_into_penalty_area,
progressive_passes,
carry_progressive_distance,
assisted_shots,
fouled,0
pens_won,
tackles,
interceptions,0
blocks,
tackles_won,0
dribble_tackles,
dribbles_vs,
pressures,
pressure_regains,
clearances,
errors,
aerials_won,
aerials_lost,
ball_recoveries,
pens_conceded,
fouls,0
cards_yellow_red,0
