position,LM
minutes,1635.0
passes_completed,391.0
passes,594.0
dribbles_completed,36.0
dribbles,71.0
passes_completed_short,223.0
passes_short,271.0
passes_completed_medium,134.0
passes_medium,204.0
passes_completed_long,24.0
passes_long,82.0
passes_total_distance,5943.0
passes_free_kicks,23.0
through_balls,0.0
passes_pressure,123.0
passes_switches,8.0
crosses,53.0
corner_kicks,19.0
passes_intercepted,11.0
passes_blocked,32.0
dispossessed,43.0
goals,3.0
assists,2.0
pens_made,2.0
pens_att,3.0
shots_total,36.0
shots_on_target,11.0
sca,50.0
gca,5.0
xg,4.6
crosses_into_penalty_area,4.0
passes_into_final_third,19.0
passes_into_penalty_area,22.0
progressive_passes,54.0
carry_progressive_distance,3202.0
assisted_shots,21.0
fouled,47.0
pens_won,2.0
tackles,40.0
interceptions,10.0
blocks,27.0
tackles_won,28.0
dribble_tackles,14.0
dribbles_vs,52.0
pressures,375.0
pressure_regains,90.0
clearances,13.0
errors,0.0
aerials_won,15.0
aerials_lost,43.0
ball_recoveries,132.0
pens_conceded,0.0
fouls,25.0
cards_yellow_red,0.0
