position,LB
minutes,1102.0
passes_completed,428.0
passes,581.0
dribbles_completed,20.0
dribbles,26.0
passes_completed_short,180.0
passes_short,200.0
passes_completed_medium,199.0
passes_medium,241.0
passes_completed_long,42.0
passes_long,120.0
passes_total_distance,7866.0
passes_free_kicks,15.0
through_balls,1.0
passes_pressure,90.0
passes_switches,11.0
crosses,27.0
corner_kicks,0.0
passes_intercepted,8.0
passes_blocked,20.0
dispossessed,13.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,16.0
gca,2.0
xg,0.2
crosses_into_penalty_area,4.0
passes_into_final_third,26.0
passes_into_penalty_area,11.0
progressive_passes,30.0
carry_progressive_distance,1889.0
assisted_shots,7.0
fouled,17.0
pens_won,0.0
tackles,33.0
interceptions,22.0
blocks,42.0
tackles_won,17.0
dribble_tackles,14.0
dribbles_vs,33.0
pressures,210.0
pressure_regains,63.0
clearances,49.0
errors,0.0
aerials_won,14.0
aerials_lost,12.0
ball_recoveries,95.0
pens_conceded,1.0
fouls,13.0
cards_yellow_red,0.0
