position,LW
minutes,90
passes_completed,37
passes,49
dribbles_completed,2
dribbles,2
passes_completed_short,17
passes_short,19
passes_completed_medium,13
passes_medium,21
passes_completed_long,4
passes_long,6
passes_total_distance,568
passes_free_kicks,2
through_balls,1
passes_pressure,12
passes_switches,0
crosses,4
corner_kicks,2
passes_intercepted,0
passes_blocked,0
dispossessed,4
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,5
shots_on_target,1
sca,6
gca,1
xg,0.3
crosses_into_penalty_area,1
passes_into_final_third,4
passes_into_penalty_area,4
progressive_passes,6
carry_progressive_distance,264
assisted_shots,2
fouled,2
pens_won,0
tackles,1
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,3
pressures,7
pressure_regains,4
clearances,0
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,9
pens_conceded,0
fouls,0
cards_yellow_red,0
