position,RW
minutes,90
passes_completed,40
passes,59
dribbles_completed,2
dribbles,2
passes_completed_short,17
passes_short,18
passes_completed_medium,15
passes_medium,19
passes_completed_long,7
passes_long,18
passes_total_distance,749
passes_free_kicks,3
through_balls,0
passes_pressure,14
passes_switches,3
crosses,3
corner_kicks,6
passes_intercepted,3
passes_blocked,2
dispossessed,1
goals,1
assists,1
pens_made,1
pens_att,2
shots_total,1
shots_on_target,0
sca,9
gca,4
xg,1.6
crosses_into_penalty_area,0
passes_into_final_third,5
passes_into_penalty_area,2
progressive_passes,9
carry_progressive_distance,417
assisted_shots,5
fouled,1
pens_won,1
tackles,1
interceptions,0
blocks,1
tackles_won,1
dribble_tackles,1
dribbles_vs,1
pressures,16
pressure_regains,4
clearances,0
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,9
pens_conceded,0
fouls,1
cards_yellow_red,0
