position,GK
minutes,3420.0
passes_completed,602.0
passes,999.0
dribbles_completed,0.0
dribbles,1.0
passes_completed_short,46.0
passes_short,50.0
passes_completed_medium,229.0
passes_medium,234.0
passes_completed_long,326.0
passes_long,709.0
passes_total_distance,23343.0
passes_free_kicks,138.0
through_balls,0.0
passes_pressure,101.0
passes_switches,15.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,6.0
passes_blocked,6.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,5.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,42.0
passes_into_penalty_area,3.0
progressive_passes,1.0
carry_progressive_distance,2030.0
assisted_shots,1.0
fouled,7.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,5.0
pressures,0.0
pressure_regains,0.0
clearances,5.0
errors,2.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,236.0
pens_conceded,1.0
fouls,1.0
cards_yellow_red,0.0
