position,RW
minutes,525.0
passes_completed,122.0
passes,175.0
dribbles_completed,12.0
dribbles,18.0
passes_completed_short,65.0
passes_short,83.0
passes_completed_medium,43.0
passes_medium,61.0
passes_completed_long,9.0
passes_long,19.0
passes_total_distance,1925.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,42.0
passes_switches,4.0
crosses,15.0
corner_kicks,4.0
passes_intercepted,8.0
passes_blocked,11.0
dispossessed,21.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,5.0
sca,12.0
gca,1.0
xg,0.9
crosses_into_penalty_area,1.0
passes_into_final_third,2.0
passes_into_penalty_area,7.0
progressive_passes,12.0
carry_progressive_distance,1053.0
assisted_shots,6.0
fouled,4.0
pens_won,0.0
tackles,4.0
interceptions,4.0
blocks,5.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,58.0
pressure_regains,10.0
clearances,0.0
errors,0.0
aerials_won,2.0
aerials_lost,2.0
ball_recoveries,23.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
