position,RW
minutes,1491.0
passes_completed,771.0
passes,871.0
dribbles_completed,9.0
dribbles,11.0
passes_completed_short,269.0
passes_short,283.0
passes_completed_medium,341.0
passes_medium,371.0
passes_completed_long,153.0
passes_long,197.0
passes_total_distance,16264.0
passes_free_kicks,15.0
through_balls,0.0
passes_pressure,90.0
passes_switches,53.0
crosses,4.0
corner_kicks,7.0
passes_intercepted,5.0
passes_blocked,7.0
dispossessed,7.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,1.0
sca,28.0
gca,1.0
xg,0.0
crosses_into_penalty_area,1.0
passes_into_final_third,55.0
passes_into_penalty_area,7.0
progressive_passes,61.0
carry_progressive_distance,1476.0
assisted_shots,11.0
fouled,11.0
pens_won,0.0
tackles,58.0
interceptions,26.0
blocks,25.0
tackles_won,34.0
dribble_tackles,17.0
dribbles_vs,48.0
pressures,292.0
pressure_regains,81.0
clearances,31.0
errors,0.0
aerials_won,5.0
aerials_lost,5.0
ball_recoveries,192.0
pens_conceded,1.0
fouls,24.0
cards_yellow_red,1.0
