position,RM
minutes,126.0
passes_completed,52.0
passes,65.0
dribbles_completed,3.0
dribbles,4.0
passes_completed_short,19.0
passes_short,24.0
passes_completed_medium,21.0
passes_medium,24.0
passes_completed_long,12.0
passes_long,15.0
passes_total_distance,1161.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,7.0
passes_switches,4.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,2.0
dispossessed,4.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,2.0
sca,2.0
gca,1.0
xg,0.30000000000000004
crosses_into_penalty_area,0.0
passes_into_final_third,6.0
passes_into_penalty_area,1.0
progressive_passes,4.0
carry_progressive_distance,235.0
assisted_shots,1.0
fouled,5.0
pens_won,0.0
tackles,1.0
interceptions,1.0
blocks,1.0
tackles_won,1.0
dribble_tackles,1.0
dribbles_vs,2.0
pressures,14.0
pressure_regains,3.0
clearances,1.0
errors,0.0
aerials_won,1.0
aerials_lost,0.0
ball_recoveries,9.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
