position,RB
minutes,2640.0
passes_completed,1279.0
passes,1698.0
dribbles_completed,17.0
dribbles,25.0
passes_completed_short,518.0
passes_short,585.0
passes_completed_medium,568.0
passes_medium,718.0
passes_completed_long,176.0
passes_long,330.0
passes_total_distance,24366.0
passes_free_kicks,20.0
through_balls,0.0
passes_pressure,205.0
passes_switches,41.0
crosses,51.0
corner_kicks,4.0
passes_intercepted,46.0
passes_blocked,51.0
dispossessed,12.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,15.0
shots_on_target,2.0
sca,49.0
gca,5.0
xg,0.1
crosses_into_penalty_area,7.0
passes_into_final_third,125.0
passes_into_penalty_area,20.0
progressive_passes,141.0
carry_progressive_distance,3655.0
assisted_shots,18.0
fouled,37.0
pens_won,0.0
tackles,63.0
interceptions,52.0
blocks,60.0
tackles_won,35.0
dribble_tackles,24.0
dribbles_vs,47.0
pressures,233.0
pressure_regains,61.0
clearances,55.0
errors,1.0
aerials_won,20.0
aerials_lost,11.0
ball_recoveries,338.0
pens_conceded,0.0
fouls,43.0
cards_yellow_red,0.0
