position,FW
minutes,90
passes_completed,30
passes,43
dribbles_completed,2
dribbles,3
passes_completed_short,16
passes_short,19
passes_completed_medium,9
passes_medium,15
passes_completed_long,4
passes_long,7
passes_total_distance,496
passes_free_kicks,0
through_balls,0
passes_pressure,9
passes_switches,1
crosses,2
corner_kicks,0
passes_intercepted,3
passes_blocked,2
dispossessed,0
goals,0
assists,1
pens_made,0
pens_att,0
shots_total,2
shots_on_target,1
sca,3
gca,1
xg,0.1
crosses_into_penalty_area,1
passes_into_final_third,0
passes_into_penalty_area,2
progressive_passes,1
carry_progressive_distance,67
assisted_shots,2
fouled,0
pens_won,0
tackles,0
interceptions,0
blocks,2
tackles_won,0
dribble_tackles,0
dribbles_vs,1
pressures,19
pressure_regains,3
clearances,0
errors,0
aerials_won,0
aerials_lost,2
ball_recoveries,6
pens_conceded,0
fouls,0
cards_yellow_red,0
