position,RW
minutes,137.0
passes_completed,17.0
passes,23.0
dribbles_completed,1.0
dribbles,4.0
passes_completed_short,10.0
passes_short,13.0
passes_completed_medium,7.0
passes_medium,9.0
passes_completed_long,0.0
passes_long,0.0
passes_total_distance,225.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,5.0
passes_switches,0.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,0.0
dispossessed,3.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,2.0
sca,7.0
gca,1.0
xg,1.8
crosses_into_penalty_area,1.0
passes_into_final_third,0.0
passes_into_penalty_area,3.0
progressive_passes,2.0
carry_progressive_distance,129.0
assisted_shots,2.0
fouled,3.0
pens_won,0.0
tackles,1.0
interceptions,0.0
blocks,2.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,35.0
pressure_regains,5.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,4.0
ball_recoveries,7.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
