position,LW
minutes,1408.0
passes_completed,461.0
passes,679.0
dribbles_completed,10.0
dribbles,26.0
passes_completed_short,189.0
passes_short,248.0
passes_completed_medium,201.0
passes_medium,268.0
passes_completed_long,64.0
passes_long,139.0
passes_total_distance,8647.0
passes_free_kicks,26.0
through_balls,1.0
passes_pressure,102.0
passes_switches,36.0
crosses,75.0
corner_kicks,57.0
passes_intercepted,22.0
passes_blocked,34.0
dispossessed,26.0
goals,2.0
assists,8.0
pens_made,0.0
pens_att,0.0
shots_total,25.0
shots_on_target,10.0
sca,54.0
gca,10.0
xg,2.1
crosses_into_penalty_area,7.0
passes_into_final_third,39.0
passes_into_penalty_area,25.0
progressive_passes,64.0
carry_progressive_distance,2512.0
assisted_shots,39.0
fouled,32.0
pens_won,1.0
tackles,6.0
interceptions,6.0
blocks,17.0
tackles_won,2.0
dribble_tackles,3.0
dribbles_vs,17.0
pressures,228.0
pressure_regains,34.0
clearances,12.0
errors,0.0
aerials_won,6.0
aerials_lost,12.0
ball_recoveries,92.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
