position,LM
minutes,2831.0
passes_completed,1243.0
passes,1617.0
dribbles_completed,43.0
dribbles,59.0
passes_completed_short,569.0
passes_short,651.0
passes_completed_medium,450.0
passes_medium,544.0
passes_completed_long,207.0
passes_long,374.0
passes_total_distance,23847.0
passes_free_kicks,74.0
through_balls,11.0
passes_pressure,282.0
passes_switches,110.0
crosses,52.0
corner_kicks,156.0
passes_intercepted,37.0
passes_blocked,36.0
dispossessed,44.0
goals,7.0
assists,7.0
pens_made,1.0
pens_att,2.0
shots_total,82.0
shots_on_target,27.0
sca,162.0
gca,12.0
xg,7.599999999999999
crosses_into_penalty_area,5.0
passes_into_final_third,137.0
passes_into_penalty_area,51.0
progressive_passes,155.0
carry_progressive_distance,3826.0
assisted_shots,96.0
fouled,78.0
pens_won,2.0
tackles,59.0
interceptions,12.0
blocks,31.0
tackles_won,34.0
dribble_tackles,15.0
dribbles_vs,60.0
pressures,766.0
pressure_regains,158.0
clearances,6.0
errors,0.0
aerials_won,8.0
aerials_lost,30.0
ball_recoveries,203.0
pens_conceded,0.0
fouls,26.0
cards_yellow_red,1.0
