position,AM
minutes,3117.0
passes_completed,830.0
passes,1231.0
dribbles_completed,38.0
dribbles,62.0
passes_completed_short,391.0
passes_short,479.0
passes_completed_medium,309.0
passes_medium,405.0
passes_completed_long,112.0
passes_long,274.0
passes_total_distance,14768.0
passes_free_kicks,61.0
through_balls,15.0
passes_pressure,223.0
passes_switches,61.0
crosses,61.0
corner_kicks,105.0
passes_intercepted,34.0
passes_blocked,63.0
dispossessed,47.0
goals,13.0
assists,6.0
pens_made,2.0
pens_att,5.0
shots_total,81.0
shots_on_target,29.0
sca,131.0
gca,13.0
xg,10.699999999999996
crosses_into_penalty_area,8.0
passes_into_final_third,99.0
passes_into_penalty_area,48.0
progressive_passes,133.0
carry_progressive_distance,2366.0
assisted_shots,72.0
fouled,39.0
pens_won,0.0
tackles,47.0
interceptions,19.0
blocks,49.0
tackles_won,31.0
dribble_tackles,15.0
dribbles_vs,48.0
pressures,951.0
pressure_regains,252.0
clearances,21.0
errors,0.0
aerials_won,12.0
aerials_lost,29.0
ball_recoveries,258.0
pens_conceded,0.0
fouls,33.0
cards_yellow_red,0.0
