position,AM
minutes,622.0
passes_completed,183.0
passes,252.0
dribbles_completed,23.0
dribbles,36.0
passes_completed_short,115.0
passes_short,137.0
passes_completed_medium,38.0
passes_medium,59.0
passes_completed_long,25.0
passes_long,39.0
passes_total_distance,2927.0
passes_free_kicks,0.0
through_balls,1.0
passes_pressure,79.0
passes_switches,6.0
crosses,15.0
corner_kicks,5.0
passes_intercepted,4.0
passes_blocked,11.0
dispossessed,9.0
goals,2.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,3.0
sca,18.0
gca,5.0
xg,0.9
crosses_into_penalty_area,1.0
passes_into_final_third,21.0
passes_into_penalty_area,8.0
progressive_passes,26.0
carry_progressive_distance,1381.0
assisted_shots,8.0
fouled,21.0
pens_won,1.0
tackles,6.0
interceptions,4.0
blocks,9.0
tackles_won,5.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,73.0
pressure_regains,26.0
clearances,2.0
errors,0.0
aerials_won,7.0
aerials_lost,12.0
ball_recoveries,44.0
pens_conceded,0.0
fouls,10.0
cards_yellow_red,0.0
