position,AM
minutes,395.0
passes_completed,131.0
passes,170.0
dribbles_completed,3.0
dribbles,6.0
passes_completed_short,66.0
passes_short,76.0
passes_completed_medium,45.0
passes_medium,57.0
passes_completed_long,17.0
passes_long,26.0
passes_total_distance,2337.0
passes_free_kicks,5.0
through_balls,2.0
passes_pressure,21.0
passes_switches,10.0
crosses,7.0
corner_kicks,9.0
passes_intercepted,4.0
passes_blocked,7.0
dispossessed,8.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,2.0
sca,22.0
gca,1.0
xg,0.6
crosses_into_penalty_area,2.0
passes_into_final_third,10.0
passes_into_penalty_area,9.0
progressive_passes,14.0
carry_progressive_distance,444.0
assisted_shots,12.0
fouled,3.0
pens_won,0.0
tackles,4.0
interceptions,2.0
blocks,3.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,80.0
pressure_regains,16.0
clearances,4.0
errors,0.0
aerials_won,9.0
aerials_lost,12.0
ball_recoveries,22.0
pens_conceded,0.0
fouls,14.0
cards_yellow_red,0.0
