position,LW
minutes,2513.0
passes_completed,839.0
passes,985.0
dribbles_completed,141.0
dribbles,222.0
passes_completed_short,589.0
passes_short,652.0
passes_completed_medium,220.0
passes_medium,258.0
passes_completed_long,17.0
passes_long,24.0
passes_total_distance,11203.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,212.0
passes_switches,5.0
crosses,35.0
corner_kicks,1.0
passes_intercepted,21.0
passes_blocked,29.0
dispossessed,65.0
goals,11.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,57.0
shots_on_target,20.0
sca,94.0
gca,13.0
xg,4.6
crosses_into_penalty_area,1.0
passes_into_final_third,22.0
passes_into_penalty_area,27.0
progressive_passes,49.0
carry_progressive_distance,8046.0
assisted_shots,34.0
fouled,56.0
pens_won,1.0
tackles,23.0
interceptions,5.0
blocks,29.0
tackles_won,17.0
dribble_tackles,9.0
dribbles_vs,22.0
pressures,409.0
pressure_regains,137.0
clearances,4.0
errors,0.0
aerials_won,5.0
aerials_lost,12.0
ball_recoveries,136.0
pens_conceded,2.0
fouls,15.0
cards_yellow_red,0.0
