position,RM
minutes,58
passes_completed,18
passes,29
dribbles_completed,3
dribbles,4
passes_completed_short,7
passes_short,12
passes_completed_medium,9
passes_medium,11
passes_completed_long,2
passes_long,5
passes_total_distance,385
passes_free_kicks,1
through_balls,0
passes_pressure,2
passes_switches,1
crosses,1
corner_kicks,2
passes_intercepted,1
passes_blocked,1
dispossessed,2
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,3
shots_on_target,0
sca,1
gca,1
xg,0.2
crosses_into_penalty_area,0
passes_into_final_third,2
passes_into_penalty_area,0
progressive_passes,2
carry_progressive_distance,63
assisted_shots,0
fouled,0
pens_won,0
tackles,2
interceptions,1
blocks,1
tackles_won,1
dribble_tackles,2
dribbles_vs,2
pressures,6
pressure_regains,2
clearances,1
errors,0
aerials_won,1
aerials_lost,0
ball_recoveries,6
pens_conceded,0
fouls,0
cards_yellow_red,0
