position,RM
minutes,1965.0
passes_completed,530.0
passes,802.0
dribbles_completed,23.0
dribbles,37.0
passes_completed_short,216.0
passes_short,277.0
passes_completed_medium,216.0
passes_medium,295.0
passes_completed_long,81.0
passes_long,173.0
passes_total_distance,10255.0
passes_free_kicks,23.0
through_balls,2.0
passes_pressure,126.0
passes_switches,45.0
crosses,62.0
corner_kicks,40.0
passes_intercepted,21.0
passes_blocked,44.0
dispossessed,24.0
goals,6.0
assists,6.0
pens_made,5.0
pens_att,5.0
shots_total,53.0
shots_on_target,14.0
sca,68.0
gca,8.0
xg,6.7
crosses_into_penalty_area,11.0
passes_into_final_third,61.0
passes_into_penalty_area,23.0
progressive_passes,91.0
carry_progressive_distance,1708.0
assisted_shots,36.0
fouled,24.0
pens_won,0.0
tackles,20.0
interceptions,16.0
blocks,38.0
tackles_won,16.0
dribble_tackles,8.0
dribbles_vs,42.0
pressures,293.0
pressure_regains,73.0
clearances,40.0
errors,0.0
aerials_won,15.0
aerials_lost,23.0
ball_recoveries,163.0
pens_conceded,1.0
fouls,13.0
cards_yellow_red,0.0
