position,RW
minutes,342.0
passes_completed,101.0
passes,143.0
dribbles_completed,14.0
dribbles,21.0
passes_completed_short,52.0
passes_short,63.0
passes_completed_medium,33.0
passes_medium,43.0
passes_completed_long,13.0
passes_long,28.0
passes_total_distance,1778.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,19.0
passes_switches,10.0
crosses,5.0
corner_kicks,16.0
passes_intercepted,2.0
passes_blocked,9.0
dispossessed,12.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,1.0
shots_total,6.0
shots_on_target,1.0
sca,17.0
gca,4.0
xg,1.8
crosses_into_penalty_area,0.0
passes_into_final_third,5.0
passes_into_penalty_area,2.0
progressive_passes,9.0
carry_progressive_distance,431.0
assisted_shots,7.0
fouled,5.0
pens_won,0.0
tackles,4.0
interceptions,6.0
blocks,5.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,12.0
pressures,65.0
pressure_regains,10.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,10.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
