position,RM
minutes,260.0
passes_completed,35.0
passes,74.0
dribbles_completed,6.0
dribbles,15.0
passes_completed_short,9.0
passes_short,18.0
passes_completed_medium,18.0
passes_medium,31.0
passes_completed_long,7.0
passes_long,19.0
passes_total_distance,763.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,11.0
passes_switches,2.0
crosses,16.0
corner_kicks,2.0
passes_intercepted,2.0
passes_blocked,6.0
dispossessed,4.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,2.0
sca,10.0
gca,0.0
xg,0.6
crosses_into_penalty_area,3.0
passes_into_final_third,1.0
passes_into_penalty_area,4.0
progressive_passes,4.0
carry_progressive_distance,647.0
assisted_shots,5.0
fouled,8.0
pens_won,0.0
tackles,1.0
interceptions,2.0
blocks,4.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,25.0
pressure_regains,7.0
clearances,2.0
errors,0.0
aerials_won,0.0
aerials_lost,2.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
