position,RM
minutes,85
passes_completed,38
passes,46
dribbles_completed,0
dribbles,1
passes_completed_short,25
passes_short,27
passes_completed_medium,10
passes_medium,12
passes_completed_long,2
passes_long,3
passes_total_distance,566
passes_free_kicks,0
through_balls,0
passes_pressure,3
passes_switches,2
crosses,1
corner_kicks,0
passes_intercepted,2
passes_blocked,2
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,2
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,3
passes_into_penalty_area,1
progressive_passes,4
carry_progressive_distance,123
assisted_shots,1
fouled,0
pens_won,0
tackles,0
interceptions,2
blocks,3
tackles_won,0
dribble_tackles,0
dribbles_vs,1
pressures,14
pressure_regains,1
clearances,0
errors,0
aerials_won,1
aerials_lost,0
ball_recoveries,8
pens_conceded,0
fouls,1
cards_yellow_red,0
