position,RW
minutes,118.0
passes_completed,19.0
passes,40.0
dribbles_completed,1.0
dribbles,2.0
passes_completed_short,8.0
passes_short,12.0
passes_completed_medium,5.0
passes_medium,13.0
passes_completed_long,6.0
passes_long,12.0
passes_total_distance,431.0
passes_free_kicks,0.0
through_balls,2.0
passes_pressure,11.0
passes_switches,2.0
crosses,6.0
corner_kicks,4.0
passes_intercepted,2.0
passes_blocked,2.0
dispossessed,2.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,3.0
gca,1.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,2.0
progressive_passes,3.0
carry_progressive_distance,268.0
assisted_shots,3.0
fouled,5.0
pens_won,0.0
tackles,2.0
interceptions,0.0
blocks,2.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,3.0
pressures,23.0
pressure_regains,6.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,4.0
ball_recoveries,11.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
