position,RM
minutes,432.0
passes_completed,146.0
passes,191.0
dribbles_completed,8.0
dribbles,13.0
passes_completed_short,70.0
passes_short,84.0
passes_completed_medium,56.0
passes_medium,72.0
passes_completed_long,20.0
passes_long,29.0
passes_total_distance,2713.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,30.0
passes_switches,8.0
crosses,14.0
corner_kicks,3.0
passes_intercepted,6.0
passes_blocked,11.0
dispossessed,9.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,4.0
sca,22.0
gca,2.0
xg,0.7
crosses_into_penalty_area,4.0
passes_into_final_third,9.0
passes_into_penalty_area,7.0
progressive_passes,11.0
carry_progressive_distance,676.0
assisted_shots,8.0
fouled,17.0
pens_won,0.0
tackles,13.0
interceptions,5.0
blocks,14.0
tackles_won,10.0
dribble_tackles,4.0
dribbles_vs,12.0
pressures,124.0
pressure_regains,29.0
clearances,1.0
errors,0.0
aerials_won,1.0
aerials_lost,5.0
ball_recoveries,34.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
