position,RM
minutes,367.0
passes_completed,174.0
passes,230.0
dribbles_completed,4.0
dribbles,7.0
passes_completed_short,100.0
passes_short,116.0
passes_completed_medium,69.0
passes_medium,84.0
passes_completed_long,5.0
passes_long,22.0
passes_total_distance,2543.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,41.0
passes_switches,1.0
crosses,8.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,14.0
dispossessed,10.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,4.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,7.0
passes_into_penalty_area,3.0
progressive_passes,14.0
carry_progressive_distance,529.0
assisted_shots,3.0
fouled,6.0
pens_won,0.0
tackles,11.0
interceptions,7.0
blocks,9.0
tackles_won,5.0
dribble_tackles,3.0
dribbles_vs,8.0
pressures,79.0
pressure_regains,24.0
clearances,2.0
errors,0.0
aerials_won,3.0
aerials_lost,6.0
ball_recoveries,28.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
