position,LM
minutes,553.0
passes_completed,349.0
passes,412.0
dribbles_completed,8.0
dribbles,8.0
passes_completed_short,185.0
passes_short,203.0
passes_completed_medium,133.0
passes_medium,150.0
passes_completed_long,27.0
passes_long,45.0
passes_total_distance,5713.0
passes_free_kicks,3.0
through_balls,1.0
passes_pressure,66.0
passes_switches,8.0
crosses,25.0
corner_kicks,14.0
passes_intercepted,9.0
passes_blocked,14.0
dispossessed,8.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,15.0
shots_on_target,5.0
sca,36.0
gca,5.0
xg,1.4000000000000001
crosses_into_penalty_area,4.0
passes_into_final_third,37.0
passes_into_penalty_area,8.0
progressive_passes,29.0
carry_progressive_distance,1745.0
assisted_shots,19.0
fouled,14.0
pens_won,0.0
tackles,4.0
interceptions,3.0
blocks,3.0
tackles_won,4.0
dribble_tackles,1.0
dribbles_vs,5.0
pressures,70.0
pressure_regains,14.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,31.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
