position,RM
minutes,2529.0
passes_completed,815.0
passes,1068.0
dribbles_completed,33.0
dribbles,52.0
passes_completed_short,411.0
passes_short,506.0
passes_completed_medium,300.0
passes_medium,379.0
passes_completed_long,94.0
passes_long,145.0
passes_total_distance,14166.0
passes_free_kicks,17.0
through_balls,1.0
passes_pressure,215.0
passes_switches,34.0
crosses,23.0
corner_kicks,20.0
passes_intercepted,29.0
passes_blocked,42.0
dispossessed,27.0
goals,19.0
assists,9.0
pens_made,2.0
pens_att,2.0
shots_total,73.0
shots_on_target,38.0
sca,92.0
gca,19.0
xg,12.7
crosses_into_penalty_area,1.0
passes_into_final_third,71.0
passes_into_penalty_area,39.0
progressive_passes,104.0
carry_progressive_distance,3101.0
assisted_shots,43.0
fouled,44.0
pens_won,1.0
tackles,30.0
interceptions,14.0
blocks,25.0
tackles_won,17.0
dribble_tackles,6.0
dribbles_vs,24.0
pressures,613.0
pressure_regains,138.0
clearances,7.0
errors,0.0
aerials_won,9.0
aerials_lost,29.0
ball_recoveries,156.0
pens_conceded,0.0
fouls,25.0
cards_yellow_red,0.0
