position,LM
minutes,391.0
passes_completed,74.0
passes,115.0
dribbles_completed,3.0
dribbles,6.0
passes_completed_short,50.0
passes_short,67.0
passes_completed_medium,17.0
passes_medium,25.0
passes_completed_long,4.0
passes_long,14.0
passes_total_distance,1003.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,26.0
passes_switches,1.0
crosses,8.0
corner_kicks,4.0
passes_intercepted,6.0
passes_blocked,8.0
dispossessed,2.0
goals,1.0
assists,0.0
pens_made,1.0
pens_att,1.0
shots_total,7.0
shots_on_target,1.0
sca,7.0
gca,1.0
xg,1.3
crosses_into_penalty_area,1.0
passes_into_final_third,3.0
passes_into_penalty_area,3.0
progressive_passes,5.0
carry_progressive_distance,301.0
assisted_shots,3.0
fouled,5.0
pens_won,1.0
tackles,3.0
interceptions,6.0
blocks,6.0
tackles_won,3.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,93.0
pressure_regains,23.0
clearances,0.0
errors,0.0
aerials_won,1.0
aerials_lost,0.0
ball_recoveries,27.0
pens_conceded,0.0
fouls,11.0
cards_yellow_red,0.0
