position,AM
minutes,1112.0
passes_completed,376.0
passes,513.0
dribbles_completed,19.0
dribbles,34.0
passes_completed_short,159.0
passes_short,201.0
passes_completed_medium,146.0
passes_medium,190.0
passes_completed_long,65.0
passes_long,108.0
passes_total_distance,7463.0
passes_free_kicks,11.0
through_balls,1.0
passes_pressure,98.0
passes_switches,25.0
crosses,22.0
corner_kicks,25.0
passes_intercepted,20.0
passes_blocked,17.0
dispossessed,29.0
goals,2.0
assists,4.0
pens_made,0.0
pens_att,0.0
shots_total,22.0
shots_on_target,7.0
sca,42.0
gca,4.0
xg,1.9
crosses_into_penalty_area,3.0
passes_into_final_third,22.0
passes_into_penalty_area,10.0
progressive_passes,33.0
carry_progressive_distance,2015.0
assisted_shots,25.0
fouled,28.0
pens_won,0.0
tackles,21.0
interceptions,14.0
blocks,26.0
tackles_won,14.0
dribble_tackles,6.0
dribbles_vs,40.0
pressures,308.0
pressure_regains,70.0
clearances,2.0
errors,0.0
aerials_won,4.0
aerials_lost,9.0
ball_recoveries,95.0
pens_conceded,0.0
fouls,26.0
cards_yellow_red,0.0
