position,RM
minutes,90
passes_completed,6
passes,22
dribbles_completed,2
dribbles,6
passes_completed_short,4
passes_short,8
passes_completed_medium,2
passes_medium,9
passes_completed_long,0
passes_long,4
passes_total_distance,88
passes_free_kicks,1
through_balls,0
passes_pressure,6
passes_switches,2
crosses,2
corner_kicks,0
passes_intercepted,1
passes_blocked,1
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,4
shots_on_target,1
sca,1
gca,0
xg,0.1
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,79
assisted_shots,0
fouled,4
pens_won,0
tackles,1
interceptions,2
blocks,2
tackles_won,0
dribble_tackles,0
dribbles_vs,2
pressures,34
pressure_regains,5
clearances,0
errors,0
aerials_won,2
aerials_lost,0
ball_recoveries,13
pens_conceded,0
fouls,2
cards_yellow_red,0
