position,LW
minutes,307.0
passes_completed,135.0
passes,150.0
dribbles_completed,5.0
dribbles,9.0
passes_completed_short,85.0
passes_short,91.0
passes_completed_medium,43.0
passes_medium,50.0
passes_completed_long,7.0
passes_long,9.0
passes_total_distance,2147.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,33.0
passes_switches,2.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,1.0
dispossessed,6.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,0.0
sca,7.0
gca,1.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,7.0
passes_into_penalty_area,3.0
progressive_passes,10.0
carry_progressive_distance,522.0
assisted_shots,4.0
fouled,8.0
pens_won,0.0
tackles,7.0
interceptions,1.0
blocks,2.0
tackles_won,4.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,38.0
pressure_regains,14.0
clearances,0.0
errors,0.0
aerials_won,4.0
aerials_lost,8.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
