position,LB
minutes,1670.0
passes_completed,618.0
passes,878.0
dribbles_completed,35.0
dribbles,56.0
passes_completed_short,187.0
passes_short,236.0
passes_completed_medium,295.0
passes_medium,379.0
passes_completed_long,133.0
passes_long,234.0
passes_total_distance,13705.0
passes_free_kicks,34.0
through_balls,2.0
passes_pressure,119.0
passes_switches,44.0
crosses,63.0
corner_kicks,44.0
passes_intercepted,25.0
passes_blocked,48.0
dispossessed,20.0
goals,0.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,22.0
shots_on_target,9.0
sca,70.0
gca,6.0
xg,1.9
crosses_into_penalty_area,14.0
passes_into_final_third,58.0
passes_into_penalty_area,37.0
progressive_passes,95.0
carry_progressive_distance,2131.0
assisted_shots,36.0
fouled,24.0
pens_won,0.0
tackles,52.0
interceptions,9.0
blocks,37.0
tackles_won,38.0
dribble_tackles,16.0
dribbles_vs,42.0
pressures,353.0
pressure_regains,127.0
clearances,40.0
errors,0.0
aerials_won,17.0
aerials_lost,17.0
ball_recoveries,189.0
pens_conceded,0.0
fouls,25.0
cards_yellow_red,0.0
