position,LB
minutes,1039.0
passes_completed,893.0
passes,1000.0
dribbles_completed,6.0
dribbles,8.0
passes_completed_short,382.0
passes_short,405.0
passes_completed_medium,390.0
passes_medium,441.0
passes_completed_long,115.0
passes_long,138.0
passes_total_distance,16587.0
passes_free_kicks,13.0
through_balls,2.0
passes_pressure,150.0
passes_switches,19.0
crosses,13.0
corner_kicks,0.0
passes_intercepted,18.0
passes_blocked,7.0
dispossessed,5.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,2.0
sca,23.0
gca,5.0
xg,0.1
crosses_into_penalty_area,1.0
passes_into_final_third,78.0
passes_into_penalty_area,10.0
progressive_passes,68.0
carry_progressive_distance,1921.0
assisted_shots,11.0
fouled,21.0
pens_won,0.0
tackles,17.0
interceptions,10.0
blocks,17.0
tackles_won,12.0
dribble_tackles,5.0
dribbles_vs,10.0
pressures,114.0
pressure_regains,41.0
clearances,25.0
errors,0.0
aerials_won,8.0
aerials_lost,12.0
ball_recoveries,142.0
pens_conceded,0.0
fouls,11.0
cards_yellow_red,0.0
