position,LW
minutes,1094.0
passes_completed,315.0
passes,442.0
dribbles_completed,13.0
dribbles,25.0
passes_completed_short,169.0
passes_short,208.0
passes_completed_medium,111.0
passes_medium,160.0
passes_completed_long,33.0
passes_long,58.0
passes_total_distance,5500.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,93.0
passes_switches,19.0
crosses,13.0
corner_kicks,0.0
passes_intercepted,14.0
passes_blocked,17.0
dispossessed,25.0
goals,4.0
assists,1.0
pens_made,2.0
pens_att,2.0
shots_total,17.0
shots_on_target,7.0
sca,31.0
gca,3.0
xg,3.1
crosses_into_penalty_area,2.0
passes_into_final_third,24.0
passes_into_penalty_area,11.0
progressive_passes,38.0
carry_progressive_distance,1133.0
assisted_shots,18.0
fouled,13.0
pens_won,1.0
tackles,19.0
interceptions,9.0
blocks,26.0
tackles_won,10.0
dribble_tackles,8.0
dribbles_vs,24.0
pressures,206.0
pressure_regains,64.0
clearances,19.0
errors,0.0
aerials_won,18.0
aerials_lost,27.0
ball_recoveries,79.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
