position,RM
minutes,593.0
passes_completed,194.0
passes,276.0
dribbles_completed,7.0
dribbles,25.0
passes_completed_short,105.0
passes_short,136.0
passes_completed_medium,53.0
passes_medium,75.0
passes_completed_long,29.0
passes_long,46.0
passes_total_distance,3293.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,44.0
passes_switches,9.0
crosses,19.0
corner_kicks,19.0
passes_intercepted,18.0
passes_blocked,11.0
dispossessed,8.0
goals,2.0
assists,1.0
pens_made,2.0
pens_att,2.0
shots_total,17.0
shots_on_target,7.0
sca,27.0
gca,1.0
xg,3.2
crosses_into_penalty_area,3.0
passes_into_final_third,9.0
passes_into_penalty_area,13.0
progressive_passes,29.0
carry_progressive_distance,1095.0
assisted_shots,15.0
fouled,4.0
pens_won,0.0
tackles,8.0
interceptions,8.0
blocks,10.0
tackles_won,6.0
dribble_tackles,1.0
dribbles_vs,20.0
pressures,115.0
pressure_regains,29.0
clearances,2.0
errors,0.0
aerials_won,4.0
aerials_lost,5.0
ball_recoveries,41.0
pens_conceded,0.0
fouls,6.0
cards_yellow_red,0.0
