position,LW
minutes,90
passes_completed,73
passes,85
dribbles_completed,1
dribbles,3
passes_completed_short,39
passes_short,41
passes_completed_medium,22
passes_medium,25
passes_completed_long,9
passes_long,13
passes_total_distance,1260
passes_free_kicks,1
through_balls,0
passes_pressure,21
passes_switches,5
crosses,5
corner_kicks,5
passes_intercepted,2
passes_blocked,4
dispossessed,1
goals,1
assists,0
pens_made,0
pens_att,0
shots_total,6
shots_on_target,2
sca,7
gca,0
xg,0.3
crosses_into_penalty_area,2
passes_into_final_third,1
passes_into_penalty_area,4
progressive_passes,4
carry_progressive_distance,124
assisted_shots,4
fouled,1
pens_won,0
tackles,2
interceptions,0
blocks,2
tackles_won,1
dribble_tackles,1
dribbles_vs,2
pressures,19
pressure_regains,7
clearances,0
errors,0
aerials_won,2
aerials_lost,1
ball_recoveries,12
pens_conceded,0
fouls,1
cards_yellow_red,0
