position,RM
minutes,90
passes_completed,30
passes,40
dribbles_completed,1
dribbles,1
passes_completed_short,11
passes_short,12
passes_completed_medium,16
passes_medium,22
passes_completed_long,3
passes_long,6
passes_total_distance,535
passes_free_kicks,2
through_balls,0
passes_pressure,7
passes_switches,1
crosses,3
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,2
gca,0
xg,0.1
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,3
progressive_passes,4
carry_progressive_distance,90
assisted_shots,0
fouled,1
pens_won,0
tackles,4
interceptions,3
blocks,3
tackles_won,2
dribble_tackles,4
dribbles_vs,4
pressures,14
pressure_regains,4
clearances,2
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,6
pens_conceded,0
fouls,1
cards_yellow_red,0
