position,WB
minutes,1660.0
passes_completed,725.0
passes,972.0
dribbles_completed,9.0
dribbles,22.0
passes_completed_short,305.0
passes_short,345.0
passes_completed_medium,309.0
passes_medium,390.0
passes_completed_long,107.0
passes_long,208.0
passes_total_distance,13709.0
passes_free_kicks,18.0
through_balls,0.0
passes_pressure,126.0
passes_switches,21.0
crosses,44.0
corner_kicks,2.0
passes_intercepted,17.0
passes_blocked,34.0
dispossessed,19.0
goals,1.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,11.0
shots_on_target,4.0
sca,33.0
gca,5.0
xg,0.4
crosses_into_penalty_area,8.0
passes_into_final_third,55.0
passes_into_penalty_area,22.0
progressive_passes,78.0
carry_progressive_distance,1954.0
assisted_shots,16.0
fouled,36.0
pens_won,0.0
tackles,40.0
interceptions,6.0
blocks,36.0
tackles_won,25.0
dribble_tackles,18.0
dribbles_vs,48.0
pressures,298.0
pressure_regains,86.0
clearances,38.0
errors,0.0
aerials_won,8.0
aerials_lost,16.0
ball_recoveries,180.0
pens_conceded,1.0
fouls,34.0
cards_yellow_red,0.0
