position,LW
minutes,116.0
passes_completed,20.0
passes,23.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,13.0
passes_short,14.0
passes_completed_medium,6.0
passes_medium,7.0
passes_completed_long,1.0
passes_long,1.0
passes_total_distance,284.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,4.0
passes_switches,0.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,0.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,2.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,0.0
passes_into_penalty_area,1.0
progressive_passes,3.0
carry_progressive_distance,26.0
assisted_shots,1.0
fouled,2.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,0.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,2.0
pressures,22.0
pressure_regains,3.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,3.0
ball_recoveries,5.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
