position,LW
minutes,449.0
passes_completed,224.0
passes,290.0
dribbles_completed,7.0
dribbles,13.0
passes_completed_short,97.0
passes_short,111.0
passes_completed_medium,94.0
passes_medium,114.0
passes_completed_long,32.0
passes_long,59.0
passes_total_distance,4174.0
passes_free_kicks,7.0
through_balls,1.0
passes_pressure,52.0
passes_switches,20.0
crosses,16.0
corner_kicks,16.0
passes_intercepted,5.0
passes_blocked,8.0
dispossessed,8.0
goals,1.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,4.0
sca,22.0
gca,2.0
xg,0.7
crosses_into_penalty_area,2.0
passes_into_final_third,29.0
passes_into_penalty_area,10.0
progressive_passes,35.0
carry_progressive_distance,913.0
assisted_shots,14.0
fouled,3.0
pens_won,0.0
tackles,3.0
interceptions,3.0
blocks,5.0
tackles_won,3.0
dribble_tackles,1.0
dribbles_vs,11.0
pressures,93.0
pressure_regains,20.0
clearances,3.0
errors,0.0
aerials_won,0.0
aerials_lost,1.0
ball_recoveries,41.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
