position,RW
minutes,1528.0
passes_completed,442.0
passes,545.0
dribbles_completed,37.0
dribbles,65.0
passes_completed_short,215.0
passes_short,249.0
passes_completed_medium,183.0
passes_medium,215.0
passes_completed_long,35.0
passes_long,53.0
passes_total_distance,7358.0
passes_free_kicks,1.0
through_balls,1.0
passes_pressure,127.0
passes_switches,8.0
crosses,14.0
corner_kicks,4.0
passes_intercepted,17.0
passes_blocked,25.0
dispossessed,49.0
goals,4.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,39.0
shots_on_target,11.0
sca,50.0
gca,7.0
xg,3.600000000000001
crosses_into_penalty_area,1.0
passes_into_final_third,19.0
passes_into_penalty_area,17.0
progressive_passes,43.0
carry_progressive_distance,2471.0
assisted_shots,18.0
fouled,14.0
pens_won,0.0
tackles,32.0
interceptions,5.0
blocks,20.0
tackles_won,19.0
dribble_tackles,7.0
dribbles_vs,34.0
pressures,378.0
pressure_regains,99.0
clearances,6.0
errors,0.0
aerials_won,4.0
aerials_lost,16.0
ball_recoveries,94.0
pens_conceded,0.0
fouls,42.0
cards_yellow_red,0.0
