position,CM
minutes,1647.0
passes_completed,0.5148755312689739
passes,0.6223436551305404
dribbles_completed,0.009714632665452338
dribbles,0.013964784456587736
passes_completed_short,0.1657559198542805
passes_short,0.19247115968427445
passes_completed_medium,0.2537947783849423
passes_medium,0.2847601700060716
passes_completed_long,0.0880388585306618
passes_long,0.12568306010928962
passes_total_distance,10.615057680631452
passes_free_kicks,0.0230722525804493
through_balls,0.0012143290831815423
passes_pressure,0.13296903460837886
passes_switches,0.017607771706132362
crosses,0.006071645415907711
corner_kicks,0.0006071645415907711
passes_intercepted,0.006071645415907711
passes_blocked,0.01639344262295082
dispossessed,0.012143290831815421
goals,0.0006071645415907711
assists,0.0018214936247723133
pens_made,0.0
pens_att,0.0
shots_total,0.013357619914996965
shots_on_target,0.0030358227079538553
sca,0.022465088038858532
gca,0.0036429872495446266
xg,0.0009107468123861566
crosses_into_penalty_area,0.0024286581663630845
passes_into_final_third,0.04796599878567092
passes_into_penalty_area,0.012143290831815421
progressive_passes,0.04553734061930783
carry_progressive_distance,1.5962355798421373
assisted_shots,0.012143290831815421
fouled,0.019429265330904676
pens_won,0.0
tackles,0.026108075288403157
interceptions,0.019429265330904676
blocks,0.022465088038858532
tackles_won,0.01639344262295082
dribble_tackles,0.006678809957498482
dribbles_vs,0.020643594414086218
pressures,0.23011536126290225
pressure_regains,0.06618093503339405
clearances,0.01639344262295082
errors,0.0
aerials_won,0.01639344262295082
aerials_lost,0.012750455373406194
ball_recoveries,0.16636308439587127
pens_conceded,0.0006071645415907711
fouls,0.013964784456587736
cards_yellow_red,0.0
