position,GK
minutes,3240.0
passes_completed,1047.0
passes,1550.0
dribbles_completed,0.0
dribbles,1.0
passes_completed_short,127.0
passes_short,127.0
passes_completed_medium,483.0
passes_medium,488.0
passes_completed_long,436.0
passes_long,930.0
passes_total_distance,32790.0
passes_free_kicks,105.0
through_balls,0.0
passes_pressure,225.0
passes_switches,38.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,4.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,2.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,11.0
passes_into_penalty_area,0.0
progressive_passes,2.0
carry_progressive_distance,1958.0
assisted_shots,0.0
fouled,6.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,7.0
pressure_regains,1.0
clearances,1.0
errors,1.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,160.0
pens_conceded,1.0
fouls,1.0
cards_yellow_red,0.0
