position,LB
passes_completed,0.3691275167785235
passes,0.5050335570469798
dribbles_completed,0.003355704697986577
dribbles,0.006711409395973154
passes_completed_short,0.14848993288590603
passes_short,0.18540268456375839
passes_completed_medium,0.17365771812080538
passes_medium,0.22902684563758388
passes_completed_long,0.04530201342281879
passes_long,0.07885906040268456
passes_total_distance,6.959731543624161
passes_free_kicks,0.0050335570469798654
through_balls,0.0
passes_pressure,0.09228187919463088
passes_switches,0.010067114093959731
crosses,0.020134228187919462
corner_kicks,0.0
passes_intercepted,0.010906040268456376
passes_blocked,0.018456375838926176
dispossessed,0.003355704697986577
goals,0.0
assists,0.0008389261744966443
pens_made,0.0
pens_att,0.0
shots_total,0.0050335570469798654
shots_on_target,0.0016778523489932886
sca,0.009228187919463088
gca,0.0016778523489932886
xg,0.00016778523489932888
crosses_into_penalty_area,0.0025167785234899327
passes_into_final_third,0.027684563758389263
passes_into_penalty_area,0.00587248322147651
progressive_passes,0.03271812080536913
carry_progressive_distance,0.9941275167785235
assisted_shots,0.0050335570469798654
fouled,0.009228187919463088
pens_won,0.0
tackles,0.025167785234899327
interceptions,0.014261744966442953
blocks,0.02097315436241611
tackles_won,0.012583892617449664
dribble_tackles,0.007550335570469799
dribbles_vs,0.018456375838926176
pressures,0.11996644295302013
pressure_regains,0.040268456375838924
clearances,0.02097315436241611
errors,0.0
aerials_won,0.006711409395973154
aerials_lost,0.003355704697986577
ball_recoveries,0.12080536912751678
pens_conceded,0.0
fouls,0.013422818791946308
cards_yellow_red,0.0
