position,LM
passes_completed,0.11502476609796368
passes,0.21133736929003852
dribbles_completed,0.02531645569620253
dribbles,0.05613648871766648
passes_completed_short,0.06219042377545404
passes_short,0.08090258668134287
passes_completed_medium,0.03467253714914695
passes_medium,0.06494221243808475
passes_completed_long,0.01651073197578426
passes_long,0.04788112272977435
passes_total_distance,2.0632911392405062
passes_free_kicks,0.003302146395156852
through_balls,0.002201430930104568
passes_pressure,0.05613648871766648
passes_switches,0.01100715465052284
crosses,0.026967528893780957
corner_kicks,0.007154650522839846
passes_intercepted,0.00550357732526142
passes_blocked,0.017611447440836543
dispossessed,0.025866813428728673
goals,0.001651073197578426
assists,0.001100715465052284
pens_made,0.0
pens_att,0.0
shots_total,0.02476609796367639
shots_on_target,0.00825536598789213
sca,0.02806824435883324
gca,0.001651073197578426
xg,0.0018712162905888832
crosses_into_penalty_area,0.003302146395156852
passes_into_final_third,0.01100715465052284
passes_into_penalty_area,0.006604292790313704
progressive_passes,0.012658227848101266
carry_progressive_distance,1.833241607044579
assisted_shots,0.007705008255365988
fouled,0.02971931755641167
pens_won,0.0
tackles,0.01375894331315355
interceptions,0.009906439185470555
blocks,0.020913593835993397
tackles_won,0.0049532195927352776
dribble_tackles,0.00275178866263071
dribbles_vs,0.015410016510731976
pressures,0.22454595487066592
pressure_regains,0.041827187671986794
clearances,0.0049532195927352776
errors,0.0
aerials_won,0.003302146395156852
aerials_lost,0.009356081452944413
ball_recoveries,0.06714364336818933
pens_conceded,0.0
fouls,0.007705008255365988
cards_yellow_red,0.0
