position,WB
passes_completed,0.48013245033112584
passes,0.6125827814569537
dribbles_completed,0.03642384105960265
dribbles,0.06291390728476821
passes_completed_short,0.24834437086092714
passes_short,0.2847682119205298
passes_completed_medium,0.18211920529801323
passes_medium,0.2185430463576159
passes_completed_long,0.03642384105960265
passes_long,0.08609271523178808
passes_total_distance,7.774834437086093
passes_free_kicks,0.006622516556291391
through_balls,0.0
passes_pressure,0.1390728476821192
passes_switches,0.016556291390728478
crosses,0.06291390728476821
corner_kicks,0.0
passes_intercepted,0.013245033112582781
passes_blocked,0.013245033112582781
dispossessed,0.013245033112582781
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.013245033112582781
shots_on_target,0.006622516556291391
sca,0.04304635761589404
gca,0.0033112582781456954
xg,0.0013245033112582781
crosses_into_penalty_area,0.009933774834437087
passes_into_final_third,0.033112582781456956
passes_into_penalty_area,0.016556291390728478
progressive_passes,0.046357615894039736
carry_progressive_distance,2.5927152317880795
assisted_shots,0.019867549668874173
fouled,0.0033112582781456954
pens_won,0.0
tackles,0.019867549668874173
interceptions,0.006622516556291391
blocks,0.019867549668874173
tackles_won,0.016556291390728478
dribble_tackles,0.013245033112582781
dribbles_vs,0.029801324503311258
pressures,0.16225165562913907
pressure_regains,0.06622516556291391
clearances,0.019867549668874173
errors,0.0
aerials_won,0.0033112582781456954
aerials_lost,0.016556291390728478
ball_recoveries,0.1390728476821192
pens_conceded,0.0
fouls,0.029801324503311258
cards_yellow_red,0.0
