position,AM
passes_completed,0.1728110599078341
passes,0.28110599078341014
dribbles_completed,0.018433179723502304
dribbles,0.03225806451612903
passes_completed_short,0.12903225806451613
passes_short,0.1889400921658986
passes_completed_medium,0.03225806451612903
passes_medium,0.055299539170506916
passes_completed_long,0.002304147465437788
passes_long,0.01152073732718894
passes_total_distance,2.0806451612903225
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,0.06682027649769585
passes_switches,0.0
crosses,0.004608294930875576
corner_kicks,0.0
passes_intercepted,0.004608294930875576
passes_blocked,0.016129032258064516
dispossessed,0.02534562211981567
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.03456221198156682
shots_on_target,0.01152073732718894
sca,0.027649769585253458
gca,0.002304147465437788
xg,0.00391705069124424
crosses_into_penalty_area,0.0
passes_into_final_third,0.01152073732718894
passes_into_penalty_area,0.0069124423963133645
progressive_passes,0.018433179723502304
carry_progressive_distance,0.5069124423963134
assisted_shots,0.01152073732718894
fouled,0.020737327188940093
pens_won,0.0
tackles,0.0069124423963133645
interceptions,0.0
blocks,0.018433179723502304
tackles_won,0.004608294930875576
dribble_tackles,0.0
dribbles_vs,0.009216589861751152
pressures,0.14055299539170507
pressure_regains,0.02534562211981567
clearances,0.004608294930875576
errors,0.0
aerials_won,0.052995391705069124
aerials_lost,0.04838709677419355
ball_recoveries,0.06221198156682028
pens_conceded,0.0
fouls,0.009216589861751152
cards_yellow_red,0.0
