position,GK
minutes,8775.0
passes_completed,2381.0
passes,3344.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,318.0
passes_short,319.0
passes_completed_medium,1090.0
passes_medium,1104.0
passes_completed_long,965.0
passes_long,1912.0
passes_total_distance,76220.0
passes_free_kicks,269.0
through_balls,1.0
passes_pressure,219.0
passes_switches,90.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,8.0
passes_blocked,4.0
dispossessed,0.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,14.0
gca,4.0
xg,0.0
crosses_into_penalty_area,1.0
passes_into_final_third,45.0
passes_into_penalty_area,3.0
progressive_passes,0.0
carry_progressive_distance,4070.0
assisted_shots,5.0
fouled,5.0
pens_won,0.0
tackles,0.0
interceptions,1.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,2.0
pressure_regains,1.0
clearances,7.0
errors,3.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,598.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
