position,RB
passes_completed,0.5071384233395406
passes,0.643699565487275
dribbles_completed,0.01303538175046555
dribbles,0.0223463687150838
passes_completed_short,0.2563625077591558
passes_short,0.2849162011173184
passes_completed_medium,0.19925512104283055
passes_medium,0.2451893234016139
passes_completed_long,0.040347610180012414
passes_long,0.08876474239602732
passes_total_distance,8.47796399751707
passes_free_kicks,0.006207324643078833
through_balls,0.0
passes_pressure,0.07759155803848541
passes_switches,0.0148975791433892
crosses,0.040347610180012414
corner_kicks,0.0
passes_intercepted,0.011793916821849782
passes_blocked,0.020484171322160148
dispossessed,0.009931719428926133
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.006828057107386716
shots_on_target,0.0012414649286157666
sca,0.015518311607697082
gca,0.0006207324643078833
xg,0.000186219739292365
crosses_into_penalty_area,0.0074487895716946
passes_into_final_third,0.03476101800124146
passes_into_penalty_area,0.013656114214773432
progressive_passes,0.04779639975170701
carry_progressive_distance,1.6610800744878957
assisted_shots,0.008690254500310366
fouled,0.02110490378646803
pens_won,0.0
tackles,0.03414028553693358
interceptions,0.01303538175046555
blocks,0.01738050900062073
tackles_won,0.019863438857852266
dribble_tackles,0.012414649286157667
dribbles_vs,0.0260707635009311
pressures,0.1824953445065177
pressure_regains,0.05462445685909373
clearances,0.0260707635009311
errors,0.0012414649286157666
aerials_won,0.01303538175046555
aerials_lost,0.006207324643078833
ball_recoveries,0.08690254500310367
pens_conceded,0.0
fouls,0.008690254500310366
cards_yellow_red,0.0
