position,RM
minutes,719.0
passes_completed,0.24478442280945759
passes,0.35048678720445064
dribbles_completed,0.03616133518776078
dribbles,0.055632823365785816
passes_completed_short,0.1349095966620306
passes_short,0.17385257301808066
passes_completed_medium,0.08762169680111266
passes_medium,0.1168289290681502
passes_completed_long,0.019471488178025034
passes_long,0.03616133518776078
passes_total_distance,3.976356050069541
passes_free_kicks,0.0
through_balls,0.0013908205841446453
passes_pressure,0.06954102920723226
passes_switches,0.006954102920723227
crosses,0.01808066759388039
corner_kicks,0.0
passes_intercepted,0.004172461752433936
passes_blocked,0.02364394993045897
dispossessed,0.02920723226703755
goals,0.0013908205841446453
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.02086230876216968
shots_on_target,0.008344923504867872
sca,0.037552155771905425
gca,0.0027816411682892906
xg,0.0012517385257301808
crosses_into_penalty_area,0.0013908205841446453
passes_into_final_third,0.02364394993045897
passes_into_penalty_area,0.0027816411682892906
progressive_passes,0.02920723226703755
carry_progressive_distance,1.3393602225312935
assisted_shots,0.009735744089012517
fouled,0.02364394993045897
pens_won,0.0
tackles,0.016689847009735744
interceptions,0.004172461752433936
blocks,0.022253129346314324
tackles_won,0.015299026425591099
dribble_tackles,0.0027816411682892906
dribbles_vs,0.008344923504867872
pressures,0.17385257301808066
pressure_regains,0.05285118219749652
clearances,0.02086230876216968
errors,0.0
aerials_won,0.030598052851182198
aerials_lost,0.02086230876216968
ball_recoveries,0.10570236439499305
pens_conceded,0.0
fouls,0.015299026425591099
cards_yellow_red,0.0
