position,WB
minutes,504.0
passes_completed,0.3353174603174603
passes,0.4603174603174603
dribbles_completed,0.005952380952380952
dribbles,0.00992063492063492
passes_completed_short,0.18452380952380953
passes_short,0.22023809523809523
passes_completed_medium,0.10912698412698413
passes_medium,0.14087301587301587
passes_completed_long,0.03571428571428571
passes_long,0.07142857142857142
passes_total_distance,5.406746031746032
passes_free_kicks,0.007936507936507936
through_balls,0.0
passes_pressure,0.06944444444444445
passes_switches,0.00992063492063492
crosses,0.01984126984126984
corner_kicks,0.0
passes_intercepted,0.011904761904761904
passes_blocked,0.025793650793650792
dispossessed,0.013888888888888888
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.00992063492063492
gca,0.0
xg,0.0
crosses_into_penalty_area,0.001984126984126984
passes_into_final_third,0.015873015873015872
passes_into_penalty_area,0.001984126984126984
progressive_passes,0.01984126984126984
carry_progressive_distance,0.6746031746031746
assisted_shots,0.001984126984126984
fouled,0.02976190476190476
pens_won,0.0
tackles,0.037698412698412696
interceptions,0.011904761904761904
blocks,0.01984126984126984
tackles_won,0.015873015873015872
dribble_tackles,0.011904761904761904
dribbles_vs,0.031746031746031744
pressures,0.2857142857142857
pressure_regains,0.057539682539682536
clearances,0.03373015873015873
errors,0.0
aerials_won,0.007936507936507936
aerials_lost,0.015873015873015872
ball_recoveries,0.06547619047619048
pens_conceded,0.0
fouls,0.025793650793650792
cards_yellow_red,0.0
