position,RW
passes_completed,0.42409508373851973
passes,0.4997298757428417
dribbles_completed,0.025661804430037818
dribbles,0.044840626688276604
passes_completed_short,0.2298757428417072
passes_short,0.2520259319286872
passes_completed_medium,0.1507293354943274
passes_medium,0.16774716369529985
passes_completed_long,0.03349540788762831
passes_long,0.060237709346299295
passes_total_distance,6.7725553754727175
passes_free_kicks,0.011075094543490005
through_balls,0.004321988114532685
passes_pressure,0.08265802269043761
passes_switches,0.01755807671528903
crosses,0.015937331172339277
corner_kicks,0.024581307401404646
passes_intercepted,0.00864397622906537
passes_blocked,0.009994597514856833
dispossessed,0.01755807671528903
goals,0.0032414910858995136
assists,0.004051863857374392
pens_made,0.0
pens_att,0.0
shots_total,0.026472177201512695
shots_on_target,0.011345218800648298
sca,0.0451107509454349
gca,0.008103727714748784
xg,0.0035386277687736354
crosses_into_penalty_area,0.001350621285791464
passes_into_final_third,0.03079416531604538
passes_into_penalty_area,0.01539708265802269
progressive_passes,0.04457050243111831
carry_progressive_distance,1.9643435980551054
assisted_shots,0.02404105888708806
fouled,0.021609940572663425
pens_won,0.0002701242571582928
tackles,0.013236088600756347
interceptions,0.00945434900054025
blocks,0.018368449486763912
tackles_won,0.009184224743381956
dribble_tackles,0.004051863857374392
dribbles_vs,0.016477579686655863
pressures,0.23419773095623986
pressure_regains,0.07347379794705565
clearances,0.005672609400324149
errors,0.0
aerials_won,0.00945434900054025
aerials_lost,0.01431658562938952
ball_recoveries,0.07023230686115613
pens_conceded,0.0
fouls,0.015126958400864398
cards_yellow_red,0.0
