position,GK
minutes,3420.0
passes_completed,893.0
passes,1349.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,86.0
passes_short,86.0
passes_completed_medium,422.0
passes_medium,429.0
passes_completed_long,382.0
passes_long,831.0
passes_total_distance,30072.0
passes_free_kicks,83.0
through_balls,0.0
passes_pressure,83.0
passes_switches,27.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,3.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,6.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,15.0
passes_into_penalty_area,1.0
progressive_passes,0.0
carry_progressive_distance,1850.0
assisted_shots,2.0
fouled,0.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,2.0
pressure_regains,0.0
clearances,2.0
errors,2.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,231.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
