position,LW
minutes,811.0
passes_completed,0.281134401972873
passes,0.4278668310727497
dribbles_completed,0.01726263871763255
dribbles,0.027127003699136867
passes_completed_short,0.14549938347718866
passes_short,0.19112207151664612
passes_completed_medium,0.10480887792848335
passes_medium,0.1381011097410604
passes_completed_long,0.025893958076448828
passes_long,0.08138101109741061
passes_total_distance,4.787916152897657
passes_free_kicks,0.01726263871763255
through_balls,0.0
passes_pressure,0.07398273736128237
passes_switches,0.027127003699136867
crosses,0.03945745992601726
corner_kicks,0.027127003699136867
passes_intercepted,0.007398273736128237
passes_blocked,0.032059186189889025
dispossessed,0.02466091245376079
goals,0.002466091245376079
assists,0.0
pens_made,0.0012330456226880395
pens_att,0.0012330456226880395
shots_total,0.02096177558569667
shots_on_target,0.007398273736128237
sca,0.05055487053020962
gca,0.0036991368680641184
xg,0.0029593094944512944
crosses_into_penalty_area,0.011097410604192354
passes_into_final_third,0.01972872996300863
passes_into_penalty_area,0.02342786683107275
progressive_passes,0.04192355117139334
carry_progressive_distance,1.6621454993834772
assisted_shots,0.02342786683107275
fouled,0.03329223181257707
pens_won,0.0012330456226880395
tackles,0.02466091245376079
interceptions,0.004932182490752158
blocks,0.02096177558569667
tackles_won,0.02219482120838471
dribble_tackles,0.007398273736128237
dribbles_vs,0.029593094944512947
pressures,0.2675709001233046
pressure_regains,0.059186189889025895
clearances,0.007398273736128237
errors,0.0
aerials_won,0.004932182490752158
aerials_lost,0.01726263871763255
ball_recoveries,0.07274969173859433
pens_conceded,0.0
fouls,0.016029593094944512
cards_yellow_red,0.0
