position,LM
minutes,2110.0
passes_completed,680.0
passes,870.0
dribbles_completed,53.0
dribbles,86.0
passes_completed_short,379.0
passes_short,418.0
passes_completed_medium,223.0
passes_medium,296.0
passes_completed_long,61.0
passes_long,107.0
passes_total_distance,10971.0
passes_free_kicks,8.0
through_balls,1.0
passes_pressure,188.0
passes_switches,17.0
crosses,52.0
corner_kicks,3.0
passes_intercepted,10.0
passes_blocked,39.0
dispossessed,43.0
goals,1.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,53.0
shots_on_target,11.0
sca,69.0
gca,6.0
xg,2.2000000000000006
crosses_into_penalty_area,8.0
passes_into_final_third,36.0
passes_into_penalty_area,24.0
progressive_passes,55.0
carry_progressive_distance,3246.0
assisted_shots,24.0
fouled,61.0
pens_won,0.0
tackles,67.0
interceptions,12.0
blocks,44.0
tackles_won,39.0
dribble_tackles,24.0
dribbles_vs,55.0
pressures,562.0
pressure_regains,141.0
clearances,22.0
errors,1.0
aerials_won,10.0
aerials_lost,36.0
ball_recoveries,163.0
pens_conceded,0.0
fouls,51.0
cards_yellow_red,1.0
