position,LW
minutes,1660.0
passes_completed,0.21265060240963857
passes,0.31746987951807226
dribbles_completed,0.030120481927710843
dribbles,0.046987951807228916
passes_completed_short,0.08132530120481928
passes_short,0.10361445783132531
passes_completed_medium,0.09036144578313253
passes_medium,0.12289156626506025
passes_completed_long,0.03674698795180723
passes_long,0.07349397590361446
passes_total_distance,4.29277108433735
passes_free_kicks,0.009036144578313253
through_balls,0.0
passes_pressure,0.058433734939759036
passes_switches,0.019879518072289156
crosses,0.03674698795180723
corner_kicks,0.02289156626506024
passes_intercepted,0.005421686746987952
passes_blocked,0.018072289156626505
dispossessed,0.030120481927710843
goals,0.004216867469879518
assists,0.0018072289156626507
pens_made,0.0012048192771084338
pens_att,0.0012048192771084338
shots_total,0.031927710843373494
shots_on_target,0.01144578313253012
sca,0.043373493975903614
gca,0.004819277108433735
xg,0.0032530120481927714
crosses_into_penalty_area,0.00783132530120482
passes_into_final_third,0.008433734939759036
passes_into_penalty_area,0.014457831325301205
progressive_passes,0.018072289156626505
carry_progressive_distance,1.883132530120482
assisted_shots,0.018072289156626505
fouled,0.018674698795180723
pens_won,0.0
tackles,0.01325301204819277
interceptions,0.006024096385542169
blocks,0.01325301204819277
tackles_won,0.008433734939759036
dribble_tackles,0.0036144578313253013
dribbles_vs,0.013855421686746987
pressures,0.21626506024096387
pressure_regains,0.06265060240963856
clearances,0.006024096385542169
errors,0.0006024096385542169
aerials_won,0.004216867469879518
aerials_lost,0.016867469879518072
ball_recoveries,0.07048192771084337
pens_conceded,0.0
fouls,0.01325301204819277
cards_yellow_red,0.0
